price,year,condition,cylinders,fuel,odometer,transmission,size,type
10400,2011,excellent,4 cylinders,gas,81300,automatic,mid-size,sedan
6900,2007,excellent,6 cylinders,gas,79000,automatic,full-size,sedan
18900,2018,like new,4 cylinders,gas,5000,automatic,full-size,sedan
6000,2010,excellent,4 cylinders,gas,97600,automatic,mid-size,hatchback
19995,2013,good,6 cylinders,gas,95782,automatic,mid-size,sedan
3400,2007,fair,4 cylinders,gas,78038,automatic,compact,sedan
13900,2013,excellent,4 cylinders,gas,28273,automatic,mid-size,sedan
7500,2007,like new,4 cylinders,gas,92321,automatic,mid-size,coupe
9400,2013,good,4 cylinders,gas,78980,automatic,full-size,coupe
12500,2019,like new,4 cylinders,gas,21000,automatic,full-size,sedan
18500,2017,like new,6 cylinders,gas,79000,automatic,full-size,sedan
11200,2016,excellent,4 cylinders,gas,71365,automatic,mid-size,sedan
24500,2014,like new,6 cylinders,gas,78050,automatic,full-size,sedan
7995,2014,like new,6 cylinders,gas,56545,automatic,full-size,sedan
11900,2016,excellent,4 cylinders,gas,34871,automatic,mid-size,sedan
25999,2018,like new,4 cylinders,gas,11337,automatic,full-size,wagon
27000,2011,excellent,6 cylinders,gas,86000,automatic,sub-compact,coupe
9800,2011,excellent,4 cylinders,gas,21400,automatic,full-size,sedan
6490,2009,excellent,4 cylinders,gas,67595,automatic,mid-size,hatchback
8950,2013,excellent,4 cylinders,gas,76000,automatic,compact,hatchback
29995,2019,like new,6 cylinders,gas,39577,automatic,full-size,sedan
8250,2013,excellent,6 cylinders,gas,90000,automatic,mid-size,sedan
2000,2016,excellent,6 cylinders,gas,46126,automatic,full-size,sedan
11000,2013,excellent,4 cylinders,gas,80000,automatic,mid-size,coupe
11500,2012,like new,6 cylinders,gas,54000,automatic,full-size,sedan
8000,2010,good,4 cylinders,gas,88122,automatic,full-size,wagon
17995,2018,new,4 cylinders,gas,33603,manual,full-size,sedan
15900,2016,excellent,4 cylinders,gas,33608,automatic,mid-size,sedan
4500,2013,like new,4 cylinders,gas,71540,manual,mid-size,sedan
7800,2012,excellent,4 cylinders,gas,90175,automatic,sub-compact,coupe
19500,2019,like new,6 cylinders,gas,30152,automatic,full-size,sedan
23990,2021,like new,4 cylinders,gas,90,automatic,compact,sedan
9995,2015,excellent,4 cylinders,gas,78575,automatic,sub-compact,sedan
9300,2016,good,4 cylinders,gas,54000,manual,compact,sedan
14500,2016,excellent,4 cylinders,gas,51645,automatic,full-size,sedan
15800,2019,excellent,4 cylinders,gas,8047,automatic,mid-size,sedan
14500,2014,excellent,4 cylinders,gas,50006,automatic,full-size,sedan
9995,2013,like new,4 cylinders,gas,79682,automatic,compact,hatchback
7000,2008,excellent,4 cylinders,gas,80000,automatic,mid-size,coupe
11750,2015,good,4 cylinders,gas,64400,manual,sub-compact,hatchback
199,2015,excellent,4 cylinders,gas,64780,automatic,mid-size,sedan
5995,2008,like new,4 cylinders,gas,97575,manual,compact,hatchback
15995,2018,excellent,4 cylinders,gas,39130,automatic,mid-size,sedan
24995,2016,excellent,4 cylinders,gas,51842,manual,compact,sedan
6500,2009,good,4 cylinders,gas,78870,automatic,compact,hatchback
1500,2013,salvage,4 cylinders,gas,79000,automatic,compact,coupe
11000,2013,good,4 cylinders,gas,77622,manual,mid-size,wagon
1000,2017,like new,4 cylinders,gas,28000,automatic,mid-size,sedan
100,2019,like new,4 cylinders,gas,38996,automatic,mid-size,sedan
16700,2018,excellent,6 cylinders,gas,34000,automatic,full-size,sedan
3000,2010,fair,4 cylinders,gas,10200,automatic,compact,sedan
19000,2016,excellent,4 cylinders,gas,87500,manual,compact,sedan
10750,2010,good,4 cylinders,gas,92000,manual,mid-size,hatchback
8400,2009,excellent,6 cylinders,gas,97300,automatic,full-size,sedan
13495,2018,excellent,4 cylinders,gas,64903,automatic,compact,sedan
14000,2011,excellent,6 cylinders,gas,26725,automatic,full-size,sedan
26900,2018,like new,6 cylinders,gas,46000,automatic,full-size,coupe
9999,2014,excellent,4 cylinders,gas,53000,automatic,mid-size,hatchback
5495,2010,excellent,4 cylinders,gas,101,automatic,mid-size,hatchback
12900,2012,good,6 cylinders,gas,53454,automatic,full-size,sedan
17500,2018,like new,4 cylinders,gas,32000,automatic,full-size,sedan
11200,2016,good,4 cylinders,gas,73230,automatic,mid-size,hatchback
5000,2013,excellent,4 cylinders,gas,99868,automatic,mid-size,sedan
16500,2015,excellent,4 cylinders,gas,67000,automatic,mid-size,sedan
6800,2015,excellent,4 cylinders,gas,78000,automatic,full-size,sedan
11495,2013,like new,6 cylinders,gas,79503,automatic,full-size,sedan
14355,2014,excellent,4 cylinders,gas,72968,automatic,mid-size,sedan
7000,2009,good,4 cylinders,gas,55000,automatic,mid-size,sedan
